8192 6710
0 2 5.113919175532587
0 65 0.5673388213726027
0 81 7.050184885984318
0 100 0.8921798602391018
0 135 6.659325585534591
0 166 7.729637236453044
0 295 8.600288486054497
0 400 1.9277745635039023
0 406 8.810079540431271
0 437 0.60895524778671
0 526 9.529718758568482
0 1161 0.4184802428337542
0 1184 2.3106900502088124
0 1461 4.4189792245506805
0 1473 6.286297828167764
0 1650 5.401387905363185
0 1664 3.1756115569520835
0 1796 9.004804546991984
0 2050 6.4232427387921
0 2051 3.7152642196259036
0 2059 5.416635191333804
0 2065 3.5944496978587614
0 2095 6.815655403906172
0 2125 7.157657410947441
0 2196 9.752897383904827
0 2378 1.5642666447608533
0 2740 8.447914136652777
0 3200 3.8825237142922364
0 3264 5.359937507745066
0 3618 3.7199321712480127
0 4552 7.039097002429876
0 4648 5.131486844941604
0 4705 9.699677948568853
0 4747 0.1277871287331367
0 4753 8.299919903672116
0 5856 8.724770300545988
0 6194 6.14656101775431
0 6404 7.353355281735581
0 6802 1.2567349638226155
0 7768 2.071190353287684
1 172 8.734640238300713
1 244 9.596006060284212
1 260 0.012468225478274864
1 732 2.3595078682577695
1 1049 2.495954644959161
1 1152 0.21805092785231572
1 1173 5.497647377396944
1 1224 3.1110646494091876
1 1744 5.963225632184849
1 3203 2.3201383377989773
1 3220 0.5415086716603434
1 4097 6.49291947439872
1 4226 2.859742918351013
1 4290 3.9339017441483684
1 4384 0.8972955517125558
1 5670 6.688852736555369
1 7458 6.180108513001886
2 21 6.403601752459211
2 33 2.529733986057151
2 49 5.573294926855908
2 416 1.8571384190931062
2 1056 7.631810315522901
2 1074 7.148350510290671
2 1168 0.2046439209344031
2 2084 1.5404010371521393
2 3160 7.585332743642206
2 4373 7.5593735789075645
2 4378 8.73559464419175
2 5531 9.444823852692974
2 6147 5.583081725164622
2 6224 1.556935711792442
2 6537 3.28699061927772
2 6668 2.9345443166740024
3 73 3.3815598913075218
3 264 6.924834547218679
3 528 0.42091184637098933
3 1292 0.09090909744834841
3 1540 2.546195134778879
3 1733 2.282596170626091
3 3112 3.80398117843022
3 5232 6.665058620571726
3 5388 3.7003489262312836
3 7304 6.538508994755245
4 5 3.9616110823275763
4 16 0.8737238838223693
4 85 8.173120475238871
4 170 8.568640391198967
4 257 8.548737560849721
4 874 3.1840307213382424
4 1056 2.770557142239103
4 1254 6.9903254015996446
4 1410 2.883153688138621
4 1602 5.971419669885362
4 1684 9.894838916136944
4 2164 8.737589788683916
4 2386 0.6166274999031962
4 2625 5.70922739497708
4 2659 5.758667341103669
4 3540 3.892631730511825
4 3651 9.741135961975795
4 4210 1.430662774757424
4 4339 5.578803426913225
4 4356 9.587181328114859
4 4776 1.0045513748665225
4 5200 6.896412104681508
4 5633 6.286208986378378
4 5920 9.66894411780457
4 6440 9.490493353353747
4 7810 9.810454130963059
4 8002 9.278566577183506
5 8 9.624781424758664
5 20 4.376369970457553
5 304 8.744068078597355
5 795 6.7433298967575706
5 1038 3.7933813562990437
5 2080 4.820086014317988
5 3204 5.6037466873577095
5 3290 9.052750131462515
5 4232 9.243377169086097
5 4388 2.393366716311914
5 5194 2.963561865006823
5 5648 0.14581173798719482
5 6262 0.11352681477004856
5 6400 6.808484711361511
5 6672 2.796162897804706
6 516 4.67008012143502
6 1099 1.0536098547381012
6 1296 0.9017678711957522
6 3264 8.100992825080148
6 3608 4.637547547404153
6 4352 4.4820923955680945
6 5175 6.973735389550614
6 6468 8.576142702938554
6 6939 3.659620454862221
7 468 5.581665151028492
7 690 8.149008243041315
7 1444 0.3723598300670783
7 2048 7.913801342460358
7 3168 1.9759607516921207
7 4353 9.93829041056021
8 33 8.740202451249468
8 774 5.603616457209756
8 805 7.351214389007428
8 1352 2.706698908685442
8 1468 9.635133013444309
8 2052 9.825351802008715
8 2081 7.563677861547186
8 2593 3.6755689184279583
8 3296 2.4734275760288615
8 4677 1.8548647004636143
8 4679 4.5519157674906925
8 4881 3.990993510622075
8 5729 3.759144981495445
8 6146 4.360176827445434
8 6754 9.190640323810419
8 7381 5.146513106313058
8 7480 1.6041336686600527
9 397 0.9243498481936618
9 619 4.71948993727212
9 644 8.201707719199817
9 2305 8.327086761485083
9 4210 6.510384542269852
9 4716 3.1241396654243756
10 444 8.352122295608844
10 1332 1.7248278703678277
10 1409 8.94298323019952
10 1424 2.4518309658824444
10 1696 2.5558378184167676
10 2308 2.334434348866008
10 2915 9.635019874456775
10 4728 6.204409299643464
10 4894 6.925056382253535
10 5120 0.15859287678105627
11 5664 8.944781852801103
12 166 3.777855363513792
12 404 2.5900793605910657
12 519 0.8052336040869379
12 1040 5.6818367123979225
12 1287 8.871797256988526
12 1296 1.599141179690391
12 1813 7.906300323638039
12 4168 0.20592240698301678
12 4240 3.62083537843315
12 7873 1.5190938083740757
13 57 7.720127339410236
13 528 1.9261744556096538
13 2607 6.103575313883532
14 516 4.657939601838024
14 704 1.2821420252674143
14 1409 7.35714257975474
14 4174 0.8354056823783473
14 4248 5.104943510928751
15 6400 7.554418169618313
15 7180 2.062807060375509
16 80 3.1897741365865295
16 202 3.2847170671489256
16 272 4.82999031899788
16 416 2.8148059882843093
16 1358 7.495528476024358
16 1602 6.91452665842225
16 1732 5.893323734841936
16 2061 8.192651044453248
16 2066 5.958565255807958
16 2560 7.228578029983393
