APLP-Small: 28.776538 12
APLP-Medium: 8192 224.703309 13
APLP-Large: 16384 1854.201884 14
MST-Small: 1024 0.706496 10
MST-Medium: 2048 4.485654 11
MST-Large: 4096 29.383215 12
MAXRP-Small: 4096 29.351867 12
MAXRP-Medium: 8192 228.345091 13
MAXRP-Large: 16384 1889.911798 14
MINRP-Small: 4096 29.354030 12
MINRP-Medium: 8192 228.876048 13
MINRP-Large: 16384 1874.237050 14
MCP-Small: 4096 29.999804 12
MCP-Medium: 8192 228.863231 13
MCP-Large: 16384 1875.660237 14
GTC-SMALL: 1024 0.702869 10
GTC-Medium: 4096 29.534583 12
GTC-Large: 8192 228.859477 13
APSP-Small: 4096 29.541139 12
APSP-Medium: 8192 228.863752 13
APSP-Large: 16384 1875.774251 14
